Date,Open,High,Low,Close,Volume,Open Interest
2019-11-20,0.0,0.0,0.0,3956.0,0.0,0.0
2019-11-21,0.0,0.0,0.0,4191.0,0.0,0.0
2019-11-22,0.0,0.0,0.0,4204.0,0.0,0.0
2019-11-25,0.0,0.0,0.0,4159.0,0.0,0.0
2019-11-26,0.0,0.0,0.0,4178.0,0.0,0.0
2019-11-27,0.0,0.0,0.0,4172.0,0.0,0.0
2019-11-28,0.0,0.0,0.0,4218.0,0.0,0.0
2019-11-29,0.0,0.0,0.0,4020.0,0.0,0.0
2019-12-02,0.0,0.0,0.0,4063.0,0.0,0.0
2019-12-03,0.0,0.0,0.0,4084.0,0.0,0.0
2019-12-04,0.0,0.0,0.0,4204.0,0.0,0.0
2019-12-05,0.0,0.0,0.0,4191.0,0.0,0.0
2019-12-06,0.0,0.0,0.0,4231.0,0.0,0.0
2019-12-09,0.0,0.0,0.0,4212.0,0.0,0.0
2019-12-10,0.0,0.0,0.0,4210.0,0.0,0.0
2019-12-11,0.0,0.0,0.0,4176.0,0.0,0.0
2019-12-12,0.0,0.0,0.0,4205.0,0.0,0.0
2019-12-13,0.0,0.0,0.0,4256.0,0.0,0.0
2019-12-17,0.0,0.0,0.0,4344.0,0.0,0.0
2019-12-18,0.0,0.0,0.0,4321.0,0.0,0.0
2019-12-19,0.0,0.0,0.0,4341.0,0.0,0.0
2019-12-20,0.0,0.0,0.0,4305.0,0.0,0.0
2019-12-23,0.0,0.0,0.0,4325.0,0.0,0.0
2019-12-24,0.0,0.0,0.0,4359.0,0.0,0.0
2019-12-26,0.0,0.0,0.0,4384.0,0.0,0.0
2019-12-27,0.0,0.0,0.0,4404.0,0.0,0.0
2019-12-30,0.0,0.0,0.0,4386.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,4361.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,4339.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,4480.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,4530.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,4497.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,4271.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,4259.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,4231.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,4176.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,4193.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,4155.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,4213.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,4205.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,4197.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,4207.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,4087.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,3980.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,3922.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,3838.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,3875.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,3864.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,3793.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,3753.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,3702.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,3666.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,3750.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,3715.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,3712.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,3630.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,3665.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,3751.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,3757.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,3799.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,3828.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,3820.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,3898.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,3952.0,0.0,0.0
2020-02-21,3895.0,3905.0,3860.0,3885.0,6.0,3.0
2020-02-24,3847.0,3847.0,3751.0,3798.0,6.0,6.0
2020-02-25,3781.0,3804.0,3689.0,3749.0,7.0,10.0
2020-02-26,3681.0,3681.0,3592.0,3627.0,25.0,24.0
2020-02-27,3512.0,3520.0,3404.0,3433.0,28.0,30.0
2020-02-28,3320.0,3393.0,3280.0,3332.0,23.0,25.0
2020-03-02,3400.0,3489.0,3365.0,3418.0,13.0,22.0
2020-03-03,3554.0,3619.0,3511.0,3539.0,28.0,17.0
2020-03-04,3587.0,3620.0,3524.0,3560.0,22.0,20.0
2020-03-05,3562.0,3562.0,3478.0,3504.0,9.0,22.0
2020-03-09,0.0,0.0,0.0,2574.0,0.0,33.0
2020-03-10,2635.0,2677.0,2581.0,2615.0,39.0,46.0
2020-03-11,2670.0,2746.0,2577.0,2599.0,56.0,44.0
2020-03-12,2496.0,2523.0,2420.0,2481.0,109.0,68.0
2020-03-13,2490.0,2625.0,2420.0,2528.0,115.0,84.0
2020-03-16,2497.0,2497.0,2300.0,2338.0,189.0,230.0
2020-03-17,2372.0,2390.0,2251.0,2266.0,144.0,242.0
2020-03-18,2184.0,2262.0,1875.0,1910.0,661.0,416.0
2020-03-19,1900.0,2150.0,1881.0,2130.0,1368.0,484.0
2020-03-20,2215.0,2296.0,1955.0,2075.0,6065.0,609.0
2020-03-23,1992.0,2041.0,1919.0,2008.0,3636.0,657.0
2020-03-24,2088.0,2170.0,2070.0,2082.0,2288.0,709.0
2020-03-25,2165.0,2195.0,2075.0,2164.0,2458.0,760.0
2020-03-26,2144.0,2147.0,1992.0,2001.0,2658.0,904.0
2020-03-27,2025.0,2032.0,1930.0,1952.0,3117.0,1122.0
2020-03-30,1890.0,1993.0,1880.0,1907.0,2487.0,1296.0
2020-03-31,1962.0,1990.0,1948.0,1977.0,1571.0,1418.0
2020-04-01,1919.0,1927.0,1873.0,1917.0,2125.0,1545.0
2020-04-03,1950.0,2283.0,1950.0,2245.0,12326.0,1735.0
2020-04-07,2334.0,2395.0,2334.0,2378.0,6869.0,3188.0
2020-04-08,2345.0,2345.0,2250.0,2273.0,8363.0,3494.0
2020-04-09,2305.0,2458.0,2300.0,2410.0,8088.0,2723.0
2020-04-13,2314.0,2320.0,2194.0,2246.0,12769.0,2896.0
2020-04-15,2200.0,2200.0,2047.0,2090.0,19843.0,4919.0
2020-04-16,2086.0,2121.0,2076.0,2106.0,11838.0,6321.0
2020-04-17,2095.0,2095.0,1968.0,2014.0,28347.0,9602.0
2020-04-21,1727.0,1727.0,1221.0,1324.0,262311.0,12533.0
2020-04-22,1272.0,1272.0,848.0,937.0,111720.0,13524.0
2020-04-23,960.0,1424.0,960.0,1289.0,226957.0,11316.0
2020-04-24,1340.0,1405.0,1218.0,1350.0,261565.0,10369.0
2020-04-27,1296.0,1296.0,941.0,1066.0,232376.0,11286.0
2020-04-28,1024.0,1064.0,795.0,1005.0,328816.0,11658.0
2020-04-29,1045.0,1276.0,1030.0,1183.0,262931.0,10260.0
2020-04-30,1230.0,1423.0,1230.0,1315.0,197651.0,7095.0
2020-05-01,1360.0,1555.0,1360.0,1518.0,73049.0,6759.0
2020-05-04,1458.0,1572.0,1386.0,1555.0,164325.0,6247.0
2020-05-05,1600.0,1924.0,1600.0,1869.0,146698.0,5669.0
2020-05-06,1891.0,1964.0,1745.0,1801.0,188216.0,5252.0
2020-05-07,1849.0,2043.0,1785.0,1834.0,175665.0,5367.0
2020-05-08,1827.0,1906.0,1776.0,1837.0,166915.0,5143.0
2020-05-11,1845.0,1947.0,1805.0,1845.0,155057.0,4824.0
